Date,Actual_Close,Predicted_Close
2023-07-13,1257.1712646484375,1214.2762
2023-07-14,1256.1171875,1223.9933
2023-07-17,1281.7830810546875,1232.7626
2023-07-18,1292.6680908203125,1241.8428
2023-07-19,1302.4761962890625,1251.108
2023-07-20,1300.89892578125,1260.5002
2023-07-21,1260.628173828125,1269.3219
2023-07-24,1235.130126953125,1274.9675
2023-07-25,1234.335693359375,1276.8824
2023-07-26,1254.3964843749998,1276.2018
2023-07-27,1242.7274169921875,1274.9086
2023-07-28,1255.2158203125,1272.4889
2023-07-31,1265.842041015625,1270.2335
2023-08-01,1247.941162109375,1268.7596
2023-08-02,1234.6087646484373,1266.8395
2023-08-03,1229.419677734375,1264.0729
2023-08-04,1246.12890625,1260.6459
2023-08-07,1253.2296142578123,1257.9215
2023-08-08,1245.681884765625,1256.1348
2023-08-09,1253.8999023437498,1254.6327
2023-08-10,1259.486083984375,1253.9255
2023-08-11,1264.7991943359375,1254.0721
2023-08-14,1279.74560546875,1255.0718
2023-08-16,1278.7027587890625,1257.4275
2023-08-17,1260.255859375,1260.4452
2023-08-18,1269.591064453125,1262.7094
2023-08-21,1255.738037109375,1264.9602
2023-08-22,1255.43896484375,1266.2162
2023-08-23,1256.8343505859375,1266.7782
2023-08-24,1235.7060546875,1266.9037
2023-08-25,1230.00048828125,1265.5077
2023-08-28,1217.741943359375,1262.9391
2023-08-29,1206.0816650390625,1259.0299
2023-08-30,1204.935546875,1253.8165
2023-08-31,1199.42919921875,1247.9886
2023-09-01,1202.2445068359375,1241.7487
2023-09-04,1201.2728271484375,1235.7611
2023-09-05,1207.701171875,1230.2076
2023-09-06,1210.242431640625,1225.6337
2023-09-07,1211.8868408203127,1222.098
2023-09-08,1219.95947265625,1219.5579
2023-09-11,1233.1148681640625,1218.2933
2023-09-12,1215.30029296875,1218.6803
2023-09-13,1221.379638671875,1219.1088
2023-09-14,1222.5008544921875,1219.9828
2023-09-15,1224.7681884765625,1221.1318
2023-09-18,1214.1043701171875,1222.5253
2023-09-20,1187.046142578125,1223.3911
2023-09-21,1178.4005126953127,1222.3657
2023-09-22,1173.4921875,1219.7362
2023-09-25,1166.2667236328125,1215.8939
2023-09-26,1167.2882080078125,1211.0359
2023-09-27,1180.443603515625,1205.8396
2023-09-28,1163.1025390625,1201.4335
2023-09-29,1168.5340576171875,1196.7769
2023-10-03,1155.1544189453125,1192.6111
2023-10-04,1153.1611328125,1188.2252
2023-10-05,1153.1363525390625,1183.8835
2023-10-06,1155.0797119140625,1179.8085
2023-10-09,1145.2380371093752,1176.2445
2023-10-10,1150.2958984375,1172.6641
2023-10-11,1168.5589599609377,1169.5988
2023-10-12,1170.7265625,1168.0503
2023-10-13,1170.6767578125,1167.6716
2023-10-16,1168.0606689453123,1168.1213
2023-10-17,1173.6417236328125,1168.975
2023-10-18,1158.069580078125,1170.3837
2023-10-19,1149.1746826171875,1171.1903
2023-10-20,1145.6617431640627,1171.1086
2023-10-23,1127.7723388671875,1170.249
2023-10-25,1125.15625,1167.9006
2023-10-26,1109.4843750000002,1164.5864
2023-10-27,1129.0679931640627,1159.9099
2023-10-30,1152.3389892578125,1155.7166
2023-10-31,1140.08056640625,1153.2925
2023-11-01,1144.814453125,1151.4492
2023-11-02,1156.1759033203125,1150.4541
2023-11-03,1155.9267578125,1150.7128
2023-11-06,1165.5441894531252,1151.7599
2023-11-07,1157.9698486328125,1153.84
2023-11-08,1163.9993896484375,1156.0488
2023-11-09,1151.3673095703125,1158.6
2023-11-10,1153.5349121093752,1160.5018
2023-11-13,1153.385498046875,1162.0287
2023-11-15,1174.2396240234375,1163.1835
2023-11-16,1176.357421875,1165.1893
2023-11-17,1173.7911376953125,1167.6968
2023-11-20,1170.70166015625,1170.2765
2023-11-21,1185.4266357421875,1172.6091
2023-11-22,1190.0609130859375,1175.4868
2023-11-23,1193.6986083984375,1178.7716
2023-11-24,1192.9012451171875,1182.3495
2023-11-28,1193.150390625,1185.8754
2023-11-29,1196.2897949218748,1189.192
2023-11-30,1184.7041015625002,1192.3564
2023-12-01,1193.1007080078125,1194.5702
2023-12-04,1206.0068359375,1196.5392
2023-12-05,1214.752197265625,1198.9115
2023-12-06,1226.3876953125,1201.8683
2023-12-07,1224.3695068359375,1205.6925
2023-12-08,1223.7216796874998,1209.742
2023-12-11,1225.515625,1213.706
2023-12-12,1207.92529296875,1217.496
2023-12-13,1212.8585205078125,1219.9452
2023-12-14,1227.907470703125,1221.7031
2023-12-15,1243.579345703125,1223.7032
2023-12-18,1256.236328125,1226.5726
2023-12-19,1274.7236328125,1230.534
2023-12-20,1259.3009033203125,1236.0305
2023-12-21,1276.941162109375,1241.3168
2023-12-22,1278.1868896484375,1247.2642
2023-12-26,1284.6649169921875,1253.3004
2023-12-27,1289.050048828125,1259.4296
2023-12-28,1298.368408203125,1265.4939
2023-12-29,1288.1031494140625,1271.6858
2024-01-01,1290.7442626953125,1276.9805
2024-01-02,1301.4329833984377,1281.5768
2024-01-03,1287.281005859375,1286.0276
2024-01-04,1293.9333496093752,1289.2574
2024-01-05,1299.439697265625,1291.9397
2024-01-08,1289.2991943359375,1294.3673
2024-01-09,1285.8857421875,1295.8757
2024-01-10,1320.568115234375,1296.5393
2024-01-11,1355.3001708984373,1298.5917
2024-01-12,1366.0885009765625,1303.2742
2024-01-15,1389.409423828125,1309.9437
2024-01-16,1369.975341796875,1318.9116
2024-01-17,1356.9693603515625,1327.6993
2024-01-18,1363.3228759765625,1335.2408
2024-01-19,1362.8245849609375,1341.9261
2024-01-23,1324.0810546875,1347.5566
2024-01-24,1339.329345703125,1349.9053
2024-01-25,1348.4981689453125,1350.9996
2024-01-29,1443.1519775390623,1351.5837
2024-01-30,1402.8636474609375,1357.212
2024-01-31,1421.7994384765625,1363.061
2024-02-01,1421.8243408203125,1370.1575
2024-02-02,1452.769287109375,1377.5693
2024-02-05,1434.157470703125,1386.5751
2024-02-06,1422.970458984375,1394.8622
2024-02-07,1437.27197265625,1401.6691
2024-02-08,1445.219970703125,1407.9675
2024-02-09,1455.8089599609375,1413.9089
2024-02-12,1447.4373779296877,1419.8356
2024-02-13,1460.144287109375,1424.8586
2024-02-14,1476.3642578124998,1429.7878
2024-02-15,1465.6256103515625,1435.2257
2024-02-16,1455.634521484375,1439.9655
2024-02-19,1469.01416015625,1443.4628
2024-02-20,1466.04931640625,1446.7609
2024-02-21,1462.7354736328125,1449.456
2024-02-22,1476.7379150390625,1451.4208
2024-02-23,1488.57275390625,1453.6182
2024-02-26,1482.2940673828125,1456.4369
2024-02-27,1480.624755859375,1459.0734
2024-02-28,1450.7012939453125,1461.3923
2024-02-29,1455.85888671875,1461.6195
2024-03-01,1487.077880859375,1460.9277
2024-03-04,1502.30126953125,1461.4142
2024-03-05,1495.12548828125,1463.3365
2024-03-06,1497.9161376953125,1465.6188
2024-03-07,1473.922607421875,1468.2467
2024-03-11,1461.63916015625,1469.5293
2024-03-12,1470.4344482421875,1469.2789
2024-03-13,1427.3306884765625,1468.5848
2024-03-14,1426.633056640625,1465.0293
2024-03-15,1413.4278564453125,1460.0138
2024-03-18,1434.6059570312498,1453.4987
2024-03-19,1420.4290771484375,1447.6636
2024-03-20,1438.866455078125,1441.6399
2024-03-21,1446.0670166015625,1437.0259
2024-03-22,1450.1033935546875,1433.9214
2024-03-26,1436.6988525390625,1432.2213
2024-03-27,1487.8004150390625,1430.7738
2024-03-28,1480.8240966796875,1432.6531
2024-04-01,1479.7528076171875,1435.9143
2024-04-02,1481.9202880859375,1439.9458
2024-04-03,1466.622314453125,1444.3988
2024-04-04,1457.9766845703123,1447.9651
2024-04-05,1455.1611328125,1450.3202
2024-04-08,1480.9486083984373,1451.5977
2024-04-09,1458.69921875,1453.5853
2024-04-10,1474.5703125,1454.4547
2024-04-12,1462.1873779296875,1455.6234
2024-04-15,1459.8701171875,1456.0828
2024-04-16,1460.7921142578125,1456.0001
2024-04-18,1459.371826171875,1455.6198
2024-04-19,1465.15234375,1454.9685
2024-04-22,1474.8443603515625,1454.52
2024-04-23,1454.3887939453125,1454.7609
2024-04-24,1445.269775390625,1454.1971
2024-04-25,1455.03662109375,1452.7422
2024-04-26,1447.6368408203125,1451.3862
2024-04-29,1460.069580078125,1449.6631
2024-04-30,1462.0378417968748,1448.5728
2024-05-02,1461.5894775390625,1447.9979
2024-05-03,1429.1495361328125,1447.7761
2024-05-06,1414.7235107421875,1445.9203
2024-05-07,1396.7344970703125,1442.4492
2024-05-08,1413.7518310546875,1437.1064
2024-05-09,1389.409423828125,1431.8966
2024-05-10,1402.6644287109375,1425.5225
2024-05-13,1397.955322265625,1419.6721
2024-05-14,1415.2714843750002,1414.1343
2024-05-15,1411.4844970703125,1410.1726
2024-05-16,1420.5286865234377,1407.1742
2024-05-17,1430.84375,1405.5677
2024-05-21,1431.267333984375,1405.5397
2024-05-22,1455.7093505859375,1406.5487
2024-05-23,1481.0234375,1409.6301
2024-05-24,1475.2430419921875,1415.2544
2024-05-27,1461.2904052734375,1421.7943
2024-05-28,1451.2742919921873,1427.8236
2024-05-29,1435.901611328125,1432.6626
2024-05-30,1420.0303955078123,1435.5676
2024-05-31,1425.5616455078125,1436.1578
2024-06-03,1505.21630859375,1435.5598
2024-06-04,1392.5487060546875,1438.7852
2024-06-05,1415.9443359375002,1437.3015
2024-06-06,1426.757568359375,1434.9261
2024-06-07,1464.977783203125,1432.4794
2024-06-10,1466.4229736328125,1432.2799
2024-06-11,1451.747802734375,1433.4525
2024-06-12,1458.375244140625,1434.661
2024-06-13,1460.2938232421875,1436.3229
2024-06-14,1472.5522460937498,1438.2507
2024-06-18,1476.0155029296875,1440.9486
2024-06-19,1453.7161865234375,1444.1288
2024-06-20,1468.7152099609375,1446.1324
2024-06-21,1449.2811279296875,1448.2563
2024-06-24,1436.59912109375,1449.0793
2024-06-25,1449.2313232421875,1448.375
2024-06-26,1508.90380859375,1447.4883
2024-06-27,1525.3729248046875,1449.9119
2024-06-28,1560.1051025390625,1454.9968
